ObjectiveName	ObjectiveDescription	PerspectiveName	PrefixName	OwnerID
Education - Partnering for Success	<span style="line-height: 27px; font-family: &quot;open sans&quot;, sans-serif; font-size: 16px; color: #777777; background-color: #ffffff;" id="docs-internal-guid-e1e2077f-982e-bb9e-e4e6-8d25e5b82b7e"> <h3 dir="ltr" style="line-height: 1.2; margin-top: 0pt; margin-bottom: 6pt;"><span style="font-family: calibri; font-size: 13.3333px; white-space: pre-wrap; line-height: 27px;">Our business and civic organizations engage in partnerships with our schools for the success of all.</span></h3> </span>	Renewal	Spoke Teams	80
Education - Supporting Students and Families	<span id="docs-internal-guid-e1e2077f-982f-645a-9d09-c136c2177214"> <h3 dir="ltr" style="line-height: 1.2; margin-top: 0pt; margin-bottom: 6pt;"><span style="font-family: calibri; font-size: 13.3333px; white-space: pre-wrap;">Our community overcomes barriers to learning by aligning support for the benefit of every student.</span></h3> </span>	Renewal	Spoke Teams	80
Healthy Lifestyles - Eat for Health	We are a community where healthy food choices are accessible to all and the easy choice.	Renewal	Spoke Teams	80
Healthy Lifestyles - Move More	<span style="line-height: 27px; font-family: &quot;open sans&quot;, sans-serif; font-size: 16px; color: #777777; background-color: #ffffff;">We are a community of active living where all have access to recreational opportunities.<br /> </span>	Renewal	Spoke Teams	80
Healthy Lifestyles - Love & Be Loved	We have healthy social and emotional development for everyone at all stages of life.	Renewal	Spoke Teams	80
Healthy Lifestyles - Know It & Own It	Our residents are resilient and thrive through the use of positive coping skills.	Renewal	Spoke Teams	80
Leadership and Youth - Leading with Vision & Purpose	<span style="line-height: 27px; font-family: &quot;open sans&quot;, sans-serif; font-size: 16px; color: #777777; background-color: #ffffff;" id="docs-internal-guid-5a5ee884-9837-ad07-569e-cbdb13de7d85"> <h3 dir="ltr" style="line-height: 1.2; margin-top: 0pt; margin-bottom: 6pt;"><span style="font-family: calibri; font-size: 13.3333px; white-space: pre-wrap; line-height: 27px;">Our community&rsquo;s leaders align with the community's vision and values.</span></h3> </span>	Renewal	Spoke Teams	80
Leadership and Youth - Leaders Creating Leaders	<span style="line-height: 27px; font-family: &quot;open sans&quot;, sans-serif; font-size: 16px; color: #777777; background-color: #ffffff;" id="docs-internal-guid-5a5ee884-9838-d6f4-734d-de4ea8f6c6d5"> <h3 dir="ltr" style="line-height: 1.2; margin-top: 0pt; margin-bottom: 6pt;"><span style="font-family: calibri; font-size: 13.3333px; white-space: pre-wrap; line-height: 27px;">Leaders&nbsp;intentionally develop themselves and the next generation&nbsp;of diverse&nbsp;leaders</span></h3> </span>	Renewal	Spoke Teams	80
Leadership and Youth - Engaging Our Youth	<span style="line-height: 27px; font-family: &quot;open sans&quot;, sans-serif; font-size: 16px; color: #777777; background-color: #ffffff;" id="docs-internal-guid-5a5ee884-9839-6f39-8d99-2a19b982e844"> <p dir="ltr" style="line-height: 1.38; margin-top: 4pt; margin-bottom: 4pt;"><span style="font-family: calibri; font-size: 13.3333px; line-height: 27px; white-space: pre-wrap;">All youth are engaged in opportunities to discover and grow the leader within</span></p> </span>	Renewal	Spoke Teams	80
Leadership and Youth - Strategy #4	<span style="font-family: 'open sans', sans-serif; color: #777777; line-height: 27px; background-color: #ffffff;">Everyone&nbsp;Achieves: Our leaders will align to end Generational Poverty.</span><br />	Renewal	Spoke Teams	80
Leadership and Youth - Strategy #5	<span style="color: #777777; font-family: 'open sans', sans-serif; font-size: 16px; line-height: 27px; background-color: #ffffff;">Leading with Vision &amp; Purpose: Our community leaders will align with a sense of purpose.</span><br />	Renewal	Spoke Teams	80
Arts and Recreation - Strategy #1	<span style="color: #777777; font-family: 'open sans', sans-serif; font-size: 16px; line-height: 27px; background-color: #ffffff;">Cultural Plan:The power of arts and culture to reshape lives, neighborhoods, and communities will be a driving force for social change as organizations and individuals create and align around a Cultural Plan.</span><br />	Sense of Place	Spoke Teams	80
Arts and Recreation - Strategy #2	<span style="color: #777777; font-family: 'open sans', sans-serif; font-size: 16px; line-height: 27px; background-color: #ffffff;">Access: Residents of all ages and abilities will be exposed to, participate in, and have the opportunity to master their own chosen form of art or recreation..</span><br />	Sense of Place	Spoke Teams	80
Arts and Recreation - Strategy #3	<span style="color: #777777; font-family: 'open sans', sans-serif; font-size: 16px; line-height: 27px; background-color: #ffffff;">Diversity: Arts and recreation opportunities will be as diverse as our region itself; All residents of the Rock River Valley will &ldquo;see themselves&rdquo; in the forms of arts and recreation activities offered in our community..</span><br />	Sense of Place	Spoke Teams	80
Arts and Recreation - Strategy #4	<span style="color: #777777; font-family: 'open sans', sans-serif; font-size: 16px; line-height: 27px; background-color: #ffffff;">Physical Assets:Our region&rsquo;s arts and recreation venues, physical assets, and natural resources amenities will be safe, modern, and utilized by both residents and tourists.</span><br />	Sense of Place	Spoke Teams	80
Arts and Recreation - Strategy #5	<span style="color: #777777; font-family: 'open sans', sans-serif; font-size: 16px; line-height: 27px; background-color: #ffffff;">Marketing: An integrated marketing plan will publicize and promote the Rock River Valley&rsquo;s arts, recreation, and cultural events, opportunities, and assets to local, state, national, and global audiences.</span><br />	Sense of Place	Spoke Teams	80
Families and Neighborhoods - Strategy #1	<span style="color: #777777; font-family: 'open sans', sans-serif; font-size: 16px; line-height: 27px; background-color: #ffffff;">Infrastructure: The condition of all physical structures results in occupied, purposeful space that is beneficial to our community.</span><br />	Sense of Place	Spoke Teams	80
Families and Neighborhoods - Strategy #2	<span style="line-height: 27px; font-family: 'open sans', sans-serif; font-size: 16px; color: #777777; background-color: #ffffff;">Resources: Neighborhoods will have access to resources and amenities that promote positive community environment.</span>	Sense of Place	Spoke Teams	80
Families and Neighborhoods - Strategy #3	<span style="color: #777777; font-family: 'open sans', sans-serif; font-size: 16px; line-height: 27px; background-color: #ffffff;">Equality: Ensure that our communities honors and embraces diversity and the success of all people at all levels.</span><br />	Sense of Place	Spoke Teams	80
Families and Neighborhoods - Strategy #4	<span style="line-height: 27px; font-family: 'open sans', sans-serif; font-size: 16px; color: #777777; background-color: #ffffff;">Uniqueness: Promote the vitality, community standards, and unique character of each of our neighborhoods.</span>	Sense of Place	Spoke Teams	80
Families and Neighborhoods - Strategy #5	<span style="line-height: 27px; font-family: 'open sans', sans-serif; font-size: 16px; color: #777777; background-color: #ffffff;">Collaboration: Cultivate and foster collaborative partnerships that utilize the strengths of our residents and organizations to become a Top 25 community.</span>	Sense of Place	Spoke Teams	80
Unity, Pride, Culture - Strategy #1	<span style="line-height: 27px; font-family: 'open sans', sans-serif; font-size: 16px; color: #777777; background-color: #ffffff;">We have a shared community story.</span>	Sense of Place	Spoke Teams	80
Unity, Pride, Culture - Strategy #2	<span style="color: #777777; font-family: 'open sans', sans-serif; font-size: 16px; line-height: 27px; background-color: #ffffff;">We will deepen relationships by building bridges across the barriers that divide us.</span><br />	Sense of Place	Spoke Teams	80
